user_id,subscription_start_date,subscription_end_date,plan_type,is_churned,mrr
U00001,2023-04-25,,free,False,0.0
U00002,2023-01-26,,free,False,0.0
U00003,2023-10-09,,free,False,0.0
U00004,2023-10-07,2024-10-31,free,True,0.0
U00005,2023-08-17,,free,False,0.0
U00006,2023-05-23,,free,False,0.0
U00007,2023-04-15,,free,False,0.0
U00008,2023-04-11,2024-04-05,free,True,0.0
U00009,2024-05-03,2025-01-28,free,True,0.0
U00010,2023-02-02,,free,False,0.0
U00011,2023-02-20,2023-12-17,enterprise,True,199.0
U00012,2023-04-11,2024-01-06,free,True,0.0
U00013,2023-08-13,2024-01-10,enterprise,True,199.0
U00014,2023-10-17,2024-09-11,enterprise,True,199.0
U00015,2024-07-20,2024-10-18,free,True,0.0
U00016,2023-01-28,,free,False,0.0
U00017,2023-07-23,,free,False,0.0
U00018,2024-03-10,2024-05-09,free,True,0.0
U00019,2023-08-14,,free,False,0.0
U00020,2024-04-25,2024-11-21,pro,True,49.0
U00021,2023-11-29,2024-06-26,free,True,0.0
U00022,2023-02-14,2024-08-07,enterprise,True,199.0
U00023,2023-07-17,2023-09-15,pro,True,49.0
U00024,2024-03-08,,free,False,0.0
U00025,2023-12-15,,free,False,0.0
U00026,2023-10-12,,free,False,0.0
U00027,2023-06-09,,free,False,0.0
U00028,2023-09-24,2023-11-23,free,True,0.0
U00029,2024-01-16,2024-07-14,enterprise,True,199.0
U00030,2023-04-15,,free,False,0.0
U00031,2023-04-05,,free,False,0.0
U00032,2024-03-05,2025-01-29,pro,True,49.0
U00033,2023-04-10,,free,False,0.0
U00034,2024-01-03,,free,False,0.0
U00035,2023-12-19,,free,False,0.0
U00036,2023-09-28,,free,False,0.0
U00037,2023-03-15,2023-11-10,pro,True,49.0
U00038,2024-06-05,2024-10-03,enterprise,True,199.0
U00039,2023-05-08,,free,False,0.0
U00040,2024-02-10,2024-07-09,free,True,0.0
U00041,2023-05-11,2023-09-08,free,True,0.0
U00042,2023-12-22,2025-06-14,pro,True,49.0
U00043,2024-02-10,2024-12-06,enterprise,True,199.0
U00044,2023-09-11,2023-11-10,free,True,0.0
U00045,2023-03-13,,free,False,0.0
U00046,2023-04-01,2024-02-25,enterprise,True,199.0
U00047,2023-08-22,,free,False,0.0
U00048,2023-12-09,2024-01-08,pro,True,49.0
U00049,2023-04-16,2024-10-07,pro,True,49.0
U00050,2023-08-27,,free,False,0.0
U00051,2023-05-29,2024-06-22,pro,True,49.0
U00052,2024-01-25,,free,False,0.0
U00053,2023-11-07,2023-12-07,enterprise,True,199.0
U00054,2024-04-09,,free,False,0.0
U00055,2024-01-09,,free,False,0.0
U00056,2023-06-16,,free,False,0.0
U00057,2024-01-15,2024-06-13,pro,True,49.0
U00058,2024-02-10,2024-03-11,free,True,0.0
U00059,2023-08-03,,free,False,0.0
U00060,2023-10-26,2024-03-24,free,True,0.0
U00061,2023-04-04,2023-10-01,free,True,0.0
U00062,2023-08-21,2024-01-18,pro,True,49.0
U00063,2024-06-30,,free,False,0.0
U00064,2023-09-15,2023-10-15,pro,True,49.0
U00065,2023-07-04,2023-09-02,pro,True,49.0
U00066,2024-05-07,2024-08-05,enterprise,True,199.0
U00067,2024-03-11,2024-07-09,pro,True,49.0
U00068,2023-10-04,,free,False,0.0
U00069,2023-08-13,,free,False,0.0
U00070,2023-12-17,2024-04-15,enterprise,True,199.0
U00071,2023-03-05,2024-06-27,pro,True,49.0
U00072,2023-08-23,,free,False,0.0
U00073,2023-04-01,2023-07-30,enterprise,True,199.0
U00074,2023-12-29,2024-02-27,pro,True,49.0
U00075,2024-02-25,2024-10-22,enterprise,True,199.0
U00076,2023-11-06,2024-04-04,pro,True,49.0
U00077,2023-03-28,2023-11-23,pro,True,49.0
U00078,2023-09-23,2024-04-20,pro,True,49.0
U00079,2024-01-04,2024-02-03,free,True,0.0
U00080,2023-09-03,2024-06-29,enterprise,True,199.0
U00081,2024-05-26,,free,False,0.0
U00082,2024-02-10,,free,False,0.0
U00083,2024-06-03,2025-07-28,enterprise,True,199.0
U00084,2023-07-21,2024-10-13,pro,True,49.0
U00085,2023-11-14,2024-03-13,pro,True,49.0
U00086,2023-06-06,2024-10-28,free,True,0.0
U00087,2023-10-29,2024-09-23,free,True,0.0
U00088,2023-09-27,,free,False,0.0
U00089,2024-03-14,,free,False,0.0
U00090,2024-02-20,2025-08-13,pro,True,49.0
U00091,2024-01-17,2024-05-16,free,True,0.0
U00092,2023-09-28,2024-06-24,free,True,0.0
U00093,2023-05-22,,free,False,0.0
U00094,2024-07-30,2024-09-28,pro,True,49.0
U00095,2024-07-04,2024-12-01,free,True,0.0
U00096,2023-05-04,2023-08-02,pro,True,49.0
U00097,2023-02-18,,free,False,0.0
U00098,2023-06-02,2023-07-02,free,True,0.0
U00099,2023-06-29,2023-10-27,enterprise,True,199.0
U00100,2023-08-03,2024-05-29,free,True,0.0
U00101,2024-03-08,,free,False,0.0
U00102,2023-04-05,2024-07-28,pro,True,49.0
U00103,2024-02-29,2025-08-22,pro,True,49.0
U00104,2024-03-02,2024-08-29,pro,True,49.0
U00105,2024-05-23,2024-07-22,pro,True,49.0
U00106,2024-06-25,,free,False,0.0
U00107,2023-09-15,,free,False,0.0
U00108,2023-01-13,2023-03-14,free,True,0.0
U00109,2023-06-18,2024-01-14,enterprise,True,199.0
U00110,2023-10-26,2024-01-24,enterprise,True,199.0
U00111,2023-12-15,,free,False,0.0
U00112,2023-04-25,,free,False,0.0
U00113,2023-11-07,2023-12-07,free,True,0.0
U00114,2024-04-09,2025-10-01,pro,True,49.0
U00115,2023-07-17,2023-08-16,free,True,0.0
U00116,2024-04-11,2024-07-10,enterprise,True,199.0
U00117,2023-02-09,2023-11-06,enterprise,True,199.0
U00118,2023-10-29,2024-02-26,enterprise,True,199.0
U00119,2024-05-27,,free,False,0.0
U00120,2023-08-18,2024-02-14,enterprise,True,199.0
U00121,2024-06-29,2024-11-26,enterprise,True,199.0
U00122,2023-04-19,,free,False,0.0
U00123,2023-11-02,,free,False,0.0
U00124,2024-07-13,2025-01-09,pro,True,49.0
U00125,2023-09-17,2025-01-09,enterprise,True,199.0
U00126,2023-06-06,,free,False,0.0
U00127,2024-02-26,2024-05-26,free,True,0.0
U00128,2023-07-26,2023-12-23,free,True,0.0
U00129,2024-08-25,,enterprise,False,199.0
U00130,2023-03-01,2023-08-28,enterprise,True,199.0
U00131,2023-11-28,,free,False,0.0
U00132,2024-05-15,,free,False,0.0
U00133,2023-02-01,2023-10-29,enterprise,True,199.0
U00134,2023-06-06,2024-03-02,pro,True,49.0
U00135,2024-02-01,2024-08-29,enterprise,True,199.0
U00136,2023-12-09,2024-03-08,pro,True,49.0
U00137,2023-09-03,,free,False,0.0
U00138,2023-04-21,2023-08-19,pro,True,49.0
U00139,2023-09-29,2024-02-26,free,True,0.0
U00140,2023-05-06,2023-06-05,pro,True,49.0
U00141,2023-05-10,2023-12-06,pro,True,49.0
U00142,2024-07-04,2024-11-01,enterprise,True,199.0
U00143,2023-04-03,2023-08-31,enterprise,True,199.0
U00144,2024-07-17,2024-10-15,free,True,0.0
U00145,2023-05-09,,free,False,0.0
U00146,2023-05-12,,free,False,0.0
U00147,2024-05-28,2024-10-25,pro,True,49.0
U00148,2023-07-25,2024-08-18,pro,True,49.0
U00149,2023-10-13,2024-02-10,enterprise,True,199.0
U00150,2024-08-11,,pro,False,49.0
U00151,2024-05-01,2025-09-23,free,True,0.0
U00152,2023-08-26,2023-09-25,free,True,0.0
U00153,2023-07-25,,free,False,0.0
U00154,2023-11-27,2025-04-20,pro,True,49.0
U00155,2024-03-18,2024-06-16,enterprise,True,199.0
U00156,2024-01-18,,free,False,0.0
U00157,2024-04-17,2025-06-11,pro,True,49.0
U00158,2024-07-25,2024-09-23,free,True,0.0
U00159,2024-04-07,,free,False,0.0
U00160,2023-05-04,,free,False,0.0
U00161,2023-09-11,,free,False,0.0
U00162,2023-08-23,2024-03-20,enterprise,True,199.0
U00163,2023-03-07,,free,False,0.0
U00164,2024-01-18,2024-02-17,free,True,0.0
U00165,2023-02-18,2023-03-20,enterprise,True,199.0
U00166,2023-09-22,2024-05-19,enterprise,True,199.0
U00167,2023-08-21,2024-09-14,pro,True,49.0
U00168,2023-02-07,2023-04-08,free,True,0.0
U00169,2023-03-14,,free,False,0.0
U00170,2023-03-21,2024-03-15,free,True,0.0
U00171,2023-09-16,2024-06-12,free,True,0.0
U00172,2023-04-08,2023-12-04,enterprise,True,199.0
U00173,2023-02-02,,free,False,0.0
U00174,2023-12-25,2025-02-17,free,True,0.0
U00175,2023-05-02,2023-09-29,pro,True,49.0
U00176,2024-06-11,2024-11-08,pro,True,49.0
U00177,2023-09-01,,free,False,0.0
U00178,2023-10-13,,free,False,0.0
U00179,2024-05-12,,free,False,0.0
U00180,2023-08-08,,free,False,0.0
U00181,2023-05-16,,free,False,0.0
U00182,2024-05-27,2025-04-22,free,True,0.0
U00183,2023-09-27,2023-10-27,free,True,0.0
U00184,2024-04-29,,free,False,0.0
U00185,2024-02-21,,free,False,0.0
U00186,2023-07-17,2023-08-16,enterprise,True,199.0
U00187,2023-04-07,,free,False,0.0
U00188,2023-04-22,2023-06-21,pro,True,49.0
U00189,2024-03-17,2024-06-15,free,True,0.0
U00190,2024-02-04,2024-11-30,enterprise,True,199.0
U00191,2024-04-05,2024-05-05,free,True,0.0
U00192,2024-02-25,,free,False,0.0
U00193,2024-06-18,2024-12-15,pro,True,49.0
U00194,2023-03-17,2023-09-13,pro,True,49.0
U00195,2023-05-07,2024-01-02,enterprise,True,199.0
U00196,2023-03-08,2023-09-04,pro,True,49.0
U00197,2024-02-17,,free,False,0.0
U00198,2024-02-02,2024-04-02,free,True,0.0
U00199,2023-05-16,2024-11-06,free,True,0.0
U00200,2023-09-12,,free,False,0.0
U00201,2023-08-17,2024-02-13,enterprise,True,199.0
U00202,2023-07-14,,free,False,0.0
U00203,2024-05-27,2025-02-21,enterprise,True,199.0
U00204,2023-05-24,,free,False,0.0
U00205,2024-04-15,2025-02-09,free,True,0.0
U00206,2023-08-14,2024-01-11,free,True,0.0
U00207,2023-10-14,2024-01-12,free,True,0.0
U00208,2024-05-24,2025-04-19,pro,True,49.0
U00209,2023-10-06,2024-04-03,enterprise,True,199.0
U00210,2023-05-14,2024-01-09,free,True,0.0
U00211,2024-04-26,2025-01-21,pro,True,49.0
U00212,2023-05-23,2023-07-22,pro,True,49.0
U00213,2023-02-26,2023-08-25,enterprise,True,199.0
U00214,2023-01-16,,free,False,0.0
U00215,2023-04-06,,free,False,0.0
U00216,2023-08-31,,free,False,0.0
U00217,2023-07-07,2023-08-06,free,True,0.0
U00218,2024-02-21,,free,False,0.0
U00219,2024-05-12,,free,False,0.0
U00220,2024-05-13,2025-09-05,pro,True,49.0
U00221,2023-08-07,,free,False,0.0
U00222,2024-02-15,2025-08-08,pro,True,49.0
U00223,2023-04-22,2024-01-17,enterprise,True,199.0
U00224,2023-08-15,2024-11-07,enterprise,True,199.0
U00225,2024-01-24,,free,False,0.0
U00226,2023-01-03,,free,False,0.0
U00227,2024-02-04,,free,False,0.0
U00228,2023-09-29,,free,False,0.0
U00229,2024-05-14,2025-11-05,pro,True,49.0
U00230,2023-10-20,,free,False,0.0
U00231,2024-03-18,2024-11-13,free,True,0.0
U00232,2024-05-13,,free,False,0.0
U00233,2023-06-08,,free,False,0.0
U00234,2023-08-13,2023-10-12,enterprise,True,199.0
U00235,2023-11-07,2023-12-07,enterprise,True,199.0
U00236,2023-08-11,,free,False,0.0
U00237,2023-03-01,,free,False,0.0
U00238,2023-03-05,2023-06-03,enterprise,True,199.0
U00239,2024-01-08,2024-02-07,enterprise,True,199.0
U00240,2023-04-12,2024-06-05,pro,True,49.0
U00241,2023-02-21,,free,False,0.0
U00242,2024-05-03,,free,False,0.0
U00243,2024-05-29,,free,False,0.0
U00244,2024-08-07,2025-03-05,pro,True,49.0
U00245,2023-06-26,2024-01-22,pro,True,49.0
U00246,2023-02-28,,free,False,0.0
U00247,2024-06-04,,free,False,0.0
U00248,2023-04-23,2023-05-23,enterprise,True,199.0
U00249,2023-09-07,2025-01-29,pro,True,49.0
U00250,2023-03-19,2023-08-16,pro,True,49.0
U00251,2023-03-15,2023-05-14,pro,True,49.0
U00252,2023-08-29,,free,False,0.0
U00253,2024-02-24,2025-02-18,free,True,0.0
U00254,2023-06-12,2023-07-12,pro,True,49.0
U00255,2023-10-13,2025-04-05,pro,True,49.0
U00256,2023-03-10,2023-06-08,free,True,0.0
U00257,2023-04-13,2023-07-12,free,True,0.0
U00258,2024-03-10,2025-01-04,pro,True,49.0
U00259,2024-07-20,2024-08-19,free,True,0.0
U00260,2023-11-20,,free,False,0.0
U00261,2023-11-20,2024-01-19,pro,True,49.0
U00262,2023-07-31,2024-07-25,enterprise,True,199.0
U00263,2023-12-31,2024-03-30,enterprise,True,199.0
U00264,2023-10-13,2024-07-09,free,True,0.0
U00265,2023-09-29,,free,False,0.0
U00266,2024-04-08,2024-11-04,free,True,0.0
U00267,2023-05-17,2023-07-16,pro,True,49.0
U00268,2023-12-24,2024-07-21,enterprise,True,199.0
U00269,2024-04-13,,free,False,0.0
U00270,2023-11-20,,free,False,0.0
U00271,2023-03-16,,free,False,0.0
U00272,2023-02-14,2024-08-07,free,True,0.0
U00273,2024-04-14,,free,False,0.0
U00274,2023-05-07,2024-10-28,pro,True,49.0
U00275,2023-04-19,2023-09-16,pro,True,49.0
U00276,2023-09-16,2024-01-14,pro,True,49.0
U00277,2024-07-10,2025-07-05,pro,True,49.0
U00278,2023-09-29,,free,False,0.0
U00279,2023-06-01,2023-08-30,enterprise,True,199.0
U00280,2024-01-14,2024-10-10,free,True,0.0
U00281,2023-03-28,2024-04-21,free,True,0.0
U00282,2023-09-08,,free,False,0.0
U00283,2024-01-14,,free,False,0.0
U00284,2023-10-19,,free,False,0.0
U00285,2023-06-11,,free,False,0.0
U00286,2024-03-24,,free,False,0.0
U00287,2023-11-21,2024-08-17,pro,True,49.0
U00288,2024-06-25,,free,False,0.0
U00289,2023-02-26,2024-02-21,free,True,0.0
U00290,2023-11-15,2024-05-13,enterprise,True,199.0
U00291,2023-04-20,2024-04-14,pro,True,49.0
U00292,2023-05-18,,free,False,0.0
U00293,2023-09-28,,free,False,0.0
U00294,2023-06-23,2024-01-19,pro,True,49.0
U00295,2023-05-16,2023-12-12,free,True,0.0
U00296,2023-06-09,,free,False,0.0
U00297,2023-11-22,2024-09-17,free,True,0.0
U00298,2023-11-09,2024-03-08,pro,True,49.0
U00299,2023-08-04,,free,False,0.0
U00300,2024-02-14,2024-08-12,free,True,0.0
U00301,2023-07-28,,free,False,0.0
U00302,2023-10-29,2024-04-26,pro,True,49.0
U00303,2024-07-10,2024-08-09,pro,True,49.0
U00304,2024-05-22,2024-09-19,pro,True,49.0
U00305,2023-09-15,,free,False,0.0
U00306,2023-03-16,2023-10-12,enterprise,True,199.0
U00307,2023-04-05,,free,False,0.0
U00308,2024-04-06,2025-04-01,free,True,0.0
U00309,2023-10-29,2024-10-23,enterprise,True,199.0
U00310,2023-03-19,2024-09-09,enterprise,True,199.0
U00311,2023-02-13,2023-10-11,pro,True,49.0
U00312,2024-01-04,2024-05-03,enterprise,True,199.0
U00313,2023-05-14,,free,False,0.0
U00314,2023-09-27,2024-01-25,free,True,0.0
U00315,2023-07-07,2023-08-06,free,True,0.0
U00316,2024-03-28,,free,False,0.0
U00317,2024-04-26,2024-06-25,pro,True,49.0
U00318,2023-01-10,,free,False,0.0
U00319,2023-06-10,2023-10-08,pro,True,49.0
U00320,2023-03-19,,free,False,0.0
U00321,2023-06-02,,free,False,0.0
U00322,2023-02-06,,free,False,0.0
U00323,2024-03-09,2024-06-07,enterprise,True,199.0
U00324,2023-06-02,2023-12-29,pro,True,49.0
U00325,2024-05-11,2025-11-02,pro,True,49.0
U00326,2023-06-02,2023-08-01,pro,True,49.0
U00327,2023-03-13,2023-06-11,enterprise,True,199.0
U00328,2023-12-19,2024-05-17,enterprise,True,199.0
U00329,2024-02-16,2024-11-12,free,True,0.0
U00330,2023-02-10,,free,False,0.0
U00331,2024-01-02,,free,False,0.0
U00332,2023-08-28,2023-10-27,enterprise,True,199.0
U00333,2023-10-30,2023-11-29,enterprise,True,199.0
U00334,2023-05-09,2023-09-06,pro,True,49.0
U00335,2023-12-29,,free,False,0.0
U00336,2024-02-21,,free,False,0.0
U00337,2023-06-08,,free,False,0.0
U00338,2023-08-31,,free,False,0.0
U00339,2023-08-13,2025-02-03,free,True,0.0
U00340,2023-07-01,,free,False,0.0
U00341,2024-03-09,2024-07-07,enterprise,True,199.0
U00342,2023-01-26,,free,False,0.0
U00343,2023-08-12,2023-10-11,enterprise,True,199.0
U00344,2024-01-07,2025-06-30,pro,True,49.0
U00345,2024-02-26,,free,False,0.0
U00346,2023-10-28,2023-12-27,free,True,0.0
U00347,2023-10-25,2024-04-22,enterprise,True,199.0
U00348,2023-06-16,2023-12-13,pro,True,49.0
U00349,2023-06-19,2024-02-14,free,True,0.0
U00350,2024-02-10,2024-04-10,free,True,0.0
U00351,2023-03-10,2023-05-09,pro,True,49.0
U00352,2024-04-26,,free,False,0.0
U00353,2023-09-08,2024-05-05,free,True,0.0
U00354,2023-08-22,2024-04-18,pro,True,49.0
U00355,2024-05-03,2024-08-01,pro,True,49.0
U00356,2023-12-25,,free,False,0.0
U00357,2023-12-06,2024-09-01,enterprise,True,199.0
U00358,2023-10-19,2024-01-17,enterprise,True,199.0
U00359,2023-08-28,2023-11-26,pro,True,49.0
U00360,2023-01-25,,free,False,0.0
U00361,2023-07-17,,free,False,0.0
U00362,2024-02-13,,free,False,0.0
U00363,2024-01-21,2024-03-21,free,True,0.0
U00364,2023-12-05,2024-02-03,enterprise,True,199.0
U00365,2023-04-30,2023-06-29,enterprise,True,199.0
U00366,2023-10-26,2023-12-25,pro,True,49.0
U00367,2023-12-26,,free,False,0.0
U00368,2024-06-18,2024-10-16,enterprise,True,199.0
U00369,2024-02-14,,free,False,0.0
U00370,2023-12-06,,free,False,0.0
U00371,2023-01-29,,free,False,0.0
U00372,2023-06-20,2024-12-11,free,True,0.0
U00373,2023-09-30,2024-04-27,free,True,0.0
U00374,2023-07-02,,free,False,0.0
U00375,2023-10-20,2024-02-17,free,True,0.0
U00376,2023-03-03,2023-10-29,pro,True,49.0
U00377,2023-04-22,,free,False,0.0
U00378,2024-04-24,2024-08-22,pro,True,49.0
U00379,2024-01-21,2024-09-17,free,True,0.0
U00380,2023-11-18,,free,False,0.0
U00381,2024-04-29,2025-03-25,pro,True,49.0
U00382,2024-07-25,,free,False,0.0
U00383,2023-04-29,,free,False,0.0
U00384,2024-03-13,2024-06-11,pro,True,49.0
U00385,2023-07-14,,free,False,0.0
U00386,2023-10-31,2024-03-29,pro,True,49.0
U00387,2023-02-15,,free,False,0.0
U00388,2024-03-22,,free,False,0.0
U00389,2023-01-08,2023-07-07,pro,True,49.0
U00390,2024-06-16,,free,False,0.0
U00391,2023-07-21,,free,False,0.0
U00392,2024-01-08,,free,False,0.0
U00393,2024-03-17,,free,False,0.0
U00394,2023-04-11,2023-09-08,pro,True,49.0
U00395,2023-12-27,2024-01-26,pro,True,49.0
U00396,2024-01-02,2024-03-02,enterprise,True,199.0
U00397,2023-05-17,2023-10-14,free,True,0.0
U00398,2023-11-17,2023-12-17,enterprise,True,199.0
U00399,2024-06-22,2025-04-18,free,True,0.0
U00400,2023-12-14,2024-07-11,enterprise,True,199.0
U00401,2024-03-13,2024-07-11,pro,True,49.0
U00402,2023-12-01,,free,False,0.0
U00403,2024-02-23,2025-02-17,enterprise,True,199.0
U00404,2023-11-02,2025-04-25,pro,True,49.0
U00405,2023-06-30,2024-12-21,pro,True,49.0
U00406,2023-07-28,2024-01-24,pro,True,49.0
U00407,2024-03-14,2025-02-07,enterprise,True,199.0
U00408,2024-02-29,2024-10-26,enterprise,True,199.0
U00409,2023-07-10,2023-08-09,pro,True,49.0
U00410,2023-11-05,,free,False,0.0
U00411,2024-03-13,2024-06-11,pro,True,49.0
U00412,2023-01-01,,free,False,0.0
U00413,2023-11-14,2023-12-14,enterprise,True,199.0
U00414,2023-12-19,2024-01-18,enterprise,True,199.0
U00415,2023-08-27,2024-02-23,free,True,0.0
U00416,2024-04-06,2024-08-04,pro,True,49.0
U00417,2023-11-28,2024-05-26,enterprise,True,199.0
U00418,2024-06-01,2024-09-29,free,True,0.0
U00419,2024-04-19,2024-05-19,free,True,0.0
U00420,2024-04-01,2025-09-23,free,True,0.0
U00421,2023-09-06,2024-06-02,pro,True,49.0
U00422,2024-06-07,,free,False,0.0
U00423,2024-05-09,2025-07-03,pro,True,49.0
U00424,2023-06-23,,free,False,0.0
U00425,2023-03-28,,free,False,0.0
U00426,2023-10-18,,free,False,0.0
U00427,2024-06-11,,free,False,0.0
U00428,2023-12-10,,free,False,0.0
U00429,2023-04-06,,free,False,0.0
U00430,2023-08-29,2023-09-28,enterprise,True,199.0
U00431,2023-11-26,2024-02-24,free,True,0.0
U00432,2023-10-17,2023-12-16,enterprise,True,199.0
U00433,2023-07-23,,free,False,0.0
U00434,2023-05-31,,free,False,0.0
U00435,2023-03-13,2023-05-12,free,True,0.0
U00436,2023-03-21,2023-04-20,pro,True,49.0
U00437,2023-10-19,2024-01-17,free,True,0.0
U00438,2024-05-15,2025-08-08,free,True,0.0
U00439,2023-03-17,2023-08-14,enterprise,True,199.0
U00440,2024-04-26,2024-08-24,pro,True,49.0
U00441,2024-02-29,,free,False,0.0
U00442,2023-08-08,2024-10-31,pro,True,49.0
U00443,2024-02-07,2024-11-03,pro,True,49.0
U00444,2024-06-19,2024-10-17,pro,True,49.0
U00445,2024-04-09,2024-05-09,free,True,0.0
U00446,2023-09-07,,free,False,0.0
U00447,2023-06-23,2024-06-17,pro,True,49.0
U00448,2023-01-30,2023-04-30,free,True,0.0
U00449,2023-05-01,2024-10-22,enterprise,True,199.0
U00450,2024-03-11,,free,False,0.0
U00451,2023-08-13,,free,False,0.0
U00452,2023-08-13,2024-08-07,enterprise,True,199.0
U00453,2024-06-14,,free,False,0.0
U00454,2024-05-26,2025-11-17,free,True,0.0
U00455,2023-04-02,2023-06-01,pro,True,49.0
U00456,2023-11-01,2025-01-24,free,True,0.0
U00457,2023-05-08,2023-12-04,pro,True,49.0
U00458,2024-04-12,,free,False,0.0
U00459,2023-07-07,2023-10-05,free,True,0.0
U00460,2024-04-20,,free,False,0.0
U00461,2024-07-13,2024-09-11,pro,True,49.0
U00462,2023-11-21,,free,False,0.0
U00463,2024-03-29,,free,False,0.0
U00464,2024-06-06,2024-11-03,pro,True,49.0
U00465,2024-03-21,2025-09-12,enterprise,True,199.0
U00466,2024-05-06,2024-08-04,pro,True,49.0
U00467,2023-06-15,2023-10-13,free,True,0.0
U00468,2024-05-01,,free,False,0.0
U00469,2024-05-07,2024-07-06,pro,True,49.0
U00470,2023-11-17,2024-09-12,pro,True,49.0
U00471,2023-10-08,2025-03-31,enterprise,True,199.0
U00472,2023-11-05,2024-08-01,enterprise,True,199.0
U00473,2024-07-15,2025-04-11,pro,True,49.0
U00474,2024-05-11,,free,False,0.0
U00475,2023-09-17,2025-03-10,pro,True,49.0
U00476,2023-11-30,2025-02-22,pro,True,49.0
U00477,2024-03-31,2024-06-29,pro,True,49.0
U00478,2023-04-18,2024-10-09,enterprise,True,199.0
U00479,2023-10-20,,free,False,0.0
U00480,2023-09-01,2023-10-31,pro,True,49.0
U00481,2023-10-06,,free,False,0.0
U00482,2023-12-10,,free,False,0.0
U00483,2023-12-11,2024-08-07,free,True,0.0
U00484,2023-04-02,2023-05-02,enterprise,True,199.0
U00485,2023-07-11,2024-03-07,enterprise,True,199.0
U00486,2023-07-22,2024-01-18,pro,True,49.0
U00487,2023-10-16,2025-02-07,free,True,0.0
U00488,2024-02-08,2024-11-04,free,True,0.0
U00489,2023-06-23,2024-05-18,pro,True,49.0
U00490,2023-08-08,,free,False,0.0
U00491,2023-03-17,2024-02-10,free,True,0.0
U00492,2024-03-12,2025-07-05,pro,True,49.0
U00493,2024-02-22,,free,False,0.0
U00494,2023-12-05,,free,False,0.0
U00495,2024-04-22,,free,False,0.0
U00496,2024-03-12,2024-04-11,enterprise,True,199.0
U00497,2023-04-13,2023-07-12,pro,True,49.0
U00498,2023-09-23,2023-11-22,enterprise,True,199.0
U00499,2024-04-07,2025-03-03,pro,True,49.0
U00500,2024-02-03,,free,False,0.0
U00501,2023-02-10,2024-08-03,enterprise,True,199.0
U00502,2024-02-16,2025-04-11,free,True,0.0
U00503,2024-05-03,,free,False,0.0
U00504,2023-01-07,,free,False,0.0
U00505,2024-02-24,2024-07-23,pro,True,49.0
U00506,2023-12-07,2025-05-30,enterprise,True,199.0
U00507,2024-02-04,,free,False,0.0
U00508,2024-03-05,,free,False,0.0
U00509,2023-09-01,2023-11-30,enterprise,True,199.0
U00510,2024-05-14,,free,False,0.0
U00511,2023-10-06,2024-07-02,pro,True,49.0
U00512,2023-10-07,,free,False,0.0
U00513,2024-03-24,2025-08-16,free,True,0.0
U00514,2024-05-12,,free,False,0.0
U00515,2023-01-30,,free,False,0.0
U00516,2024-02-22,2024-07-21,pro,True,49.0
U00517,2024-01-02,2025-06-25,enterprise,True,199.0
